"twitter","id_str","screen_name","twitter_name","description","followers_count","statuses_count","friends_count","created_at","location","bioid","id","name","gender","type","party","facebook","youtube","chamber"
"sengillibrand","72198806","SenGillibrand","Kirsten Gillibrand","Theo and Henry's mom, U.S. Senator from New York, author of NYT bestseller Off the Sidelines. Pitcher, but sometimes left fielder. Democrat.",1252616,16265,511,"Mon Sep 07 03:53:24 +0000 2009","New York","G000555","01866","Kirsten E. Gillibrand","F","Congress","Democrat","SenKirstenGillibrand","KirstenEGillibrand","sen"
"senjackreed","486694111","SenJackReed","Senator Jack Reed","Official Twitter feed of Rhode Island’s U.S. Senator Jack Reed.",76448,5206,33,"Wed Feb 08 15:24:01 +0000 2012","Providence, Rhode Island","R000122","00949","Jack Reed","M","Congress","Democrat","SenJackReed","SenatorReed","sen"
"senjeffmerkley","29201047","SenJeffMerkley","Senator Jeff Merkley","U.S. Senator from the State of Oregon. Instagram: https://t.co/pECsFBm1G1",392523,7931,832,"Mon Apr 06 13:38:39 +0000 2009","Oregon","M001176","01900","Jeff Merkley","M","Congress","Democrat","jeffmerkley","SenatorJeffMerkley","sen"
"senjohnbarrasso","202206694","SenJohnBarrasso","Sen. John Barrasso","U.S. Senator for the great state of Wyoming and @SenateRPC Chairman.",90445,3855,506,"Wed Oct 13 14:49:08 +0000 2010","","B001261","01881","John Barrasso","M","Congress","Republican","johnbarrasso","barrassowyo","sen"
"senjohnhoeven","382791093","SenJohnHoeven","Senator John Hoeven","Official account of U.S. Senator John Hoeven of North Dakota. https://t.co/ViVEXcWlhM",65140,2777,618,"Fri Sep 30 17:55:30 +0000 2011","North Dakota","H001061","02079","John Hoeven","M","Congress","Republican","SenatorJohnHoeven","senatorjohnhoevennd","sen"
"senjohnkennedy","816683274076614656","SenJohnKennedy","John Kennedy","The official Twitter page for U.S. Senator John N. Kennedy (R-La.) https://t.co/4ceoNzx1Ck",18236,1005,1322,"Wed Jan 04 16:30:40 +0000 2017","Louisiana","K000393",NA,"John Kennedy","M","Congress","Republican","JohnKennedyLouisiana",NA,"sen"
"senjohnmccain","19394188","SenJohnMcCain","John McCain","U.S. Senator John McCain (R-AZ), Chairman of Senate Armed Services Committee",3186972,14383,378,"Fri Jan 23 13:42:31 +0000 2009","Phoenix, AZ / Washington, DC","M000303","00754","John McCain","M","Congress","Republican","johnmccain","SenatorJohnMcCain","sen"
"senjohnthune","296361085","SenJohnThune","Senator John Thune","U.S. Senator John Thune, South Dakota. Chairman of @SenateGOP & @SenateCommerce. Father. Husband. Avid Outdoorsman. Sports Fan.",89966,4635,322,"Tue May 10 16:41:48 +0000 2011","","T000250","01534","John Thune","M","Congress","Republican",NA,"johnthune","sen"
"senjoniernst","2856787757","SenJoniErnst","Joni Ernst","Follow for news and updates from the Office of Iowa Senator Joni K. Ernst. Tweets from Joni are signed JKE.",40212,1987,53,"Sun Nov 02 13:32:54 +0000 2014","Iowa","E000295","02283","Joni Ernst","F","Congress","Republican","senjoniernst",NA,"sen"
"senkamalaharris","803694179079458816","SenKamalaHarris","Kamala Harris","United States Senator for California",399580,2170,535,"Tue Nov 29 20:16:39 +0000 2016","","H001075",NA,"Kamala D. Harris","F","Congress","Democrat","SenatorKamalaHarris",NA,"sen"
"senmarkey","21406834","SenMarkey","Ed Markey","Official account for Senator Edward J. Markey. National leader on energy, environment, climate, telecom. Voice for consumer protection. https://t.co/nfYWzVp6R8",132536,12478,1353,"Fri Feb 20 15:49:29 +0000 2009","MA","M000133","00735","Edward J. Markey","M","Congress","Democrat","EdJMarkey","RepMarkey","sen"
"senmikelee","88784440","SenMikeLee","Mike Lee","I am a United States Senator from the great state of Utah. Please help me restore constitutional leadership to Washington!",440832,4667,2419,"Mon Nov 09 22:47:47 +0000 2009","Utah","L000577","02080","Mike Lee","M","Congress","Republican","senatormikelee","senatormikelee","sen"
"senmurphyoffice","2853793517","SenMurphyOffice","Sen. Murphy Office","Office of U.S. Senator Chris Murphy.       Staff share press items & updates on Chris's work for Connecticut. Follow Chris at @ChrisMurphyCT",3090,995,29,"Fri Oct 31 20:54:02 +0000 2014","","M001169","01837","Christopher Murphy","M","Congress","Democrat","chrismurphyct","senchrismurphy","sen"
"senorrinhatch","262756641","senorrinhatch","Senator Hatch Office","U.S. Senator from Utah, 2017 Utahn of the Year, writer of songs and laws. Tweets are by Sen. Hatch's staff; those signed ogh are from Sen. Hatch himself.",77739,10830,412,"Tue Mar 08 18:04:18 +0000 2011","","H000338","01351","Orrin G. Hatch","M","Congress","Republican","senatororrinhatch","SenatorOrrinHatch","sen"
"senpatroberts","75364211","SenPatRoberts","Pat Roberts","United States Senator from Kansas",56528,5815,890,"Fri Sep 18 19:34:56 +0000 2009","Kansas and Washington, DC","R000307","00968","Pat Roberts","M","Congress","Republican","SenPatRoberts","SenPatRoberts","sen"
"senrobportman","18915145","senrobportman","Rob Portman","United States Senator from the Buckeye State.",127296,12911,5058,"Mon Jan 12 20:56:42 +0000 2009","Ohio","P000449","00924","Rob Portman","M","Congress","Republican","senrobportman","SenRobPortman","sen"
"senronjohnson","233737858","SenRonJohnson","Senator Ron Johnson","Chairman of the Homeland Security and Governmental Affairs Committee & the Subcommittee on Europe & Regional Security Cooperation. Tweets from Ron are signed–rj",89126,4387,469,"Tue Jan 04 00:25:27 +0000 2011","Oshkosh, WI","J000293","02086","Ron Johnson","M","Congress","Republican","senronjohnson","SenatorRonJohnson","sen"
"senrubiopress","229966028","SenRubioPress","Senator Rubio Press","Official account of U.S. Senator @MarcoRubio's PressShop. For more information please visit his website.",51547,6171,540,"Thu Dec 23 21:22:47 +0000 2010","Florida, USA","R000595","02084","Marco Rubio","M","Congress","Republican","SenatorMarcoRubio","SenatorMarcoRubio","sen"
"sensanders","29442313","SenSanders","Bernie Sanders","U.S. Senator Bernie Sanders of Vermont is the longest-serving independent in congressional history.",7853827,18979,2079,"Tue Apr 07 13:02:35 +0000 2009","Vermont/DC","S000033","01010","Bernard Sanders","M","Congress","Independent","senatorsanders","senatorsanders","sen"
"sensasse","2962923040","SenSasse","Senator Ben Sasse","The press office account of U.S. Sen. Sasse. His (less political/hopefully more interesting) personal account is @ BenSasse.",110758,885,1,"Mon Jan 05 22:39:56 +0000 2015","","S001197","02289","Ben Sasse","M","Congress","Republican","SenatorSasse",NA,"sen"
"senschumer","17494010","SenSchumer","Chuck Schumer","Official account of Senator Chuck Schumer - New York’s Senator RT≠endorsement",1462663,13562,26149,"Wed Nov 19 20:10:20 +0000 2008","New York, NY","S000148","01036","Charles E. Schumer","M","Other Politicians","Democrat","senschumer","SenatorSchumer","sen"
"senshelby","21111098","SenShelby","Richard Shelby","The official Twitter page for U.S. Senator Richard Shelby (R-Ala.) https://t.co/YqOy54UpSf",70188,1799,451,"Tue Feb 17 17:53:43 +0000 2009","Tuscaloosa, Alabama","S000320","01049","Richard C. Shelby","M","Congress","Republican","RichardShelby","SenatorRichardShelby","sen"
"sensherrodbrown","43910797","SenSherrodBrown","Sherrod Brown","Office of United States Senator Sherrod Brown. Proud to serve Ohio. Tweets from Sherrod signed -SB.",351335,4914,205,"Mon Jun 01 16:07:45 +0000 2009","Cleveland, OH","B000944","00136","Sherrod Brown","M","Congress","Democrat","SenatorSherrodBrown","SherrodBrownOhio","sen"
"senstabenow","76456274","SenStabenow","Sen. Debbie Stabenow","Representing the people from the Great State of Michigan in the United States Senate",89452,3662,2156,"Tue Sep 22 21:30:16 +0000 2009","Washington, DC","S000770","01531","Debbie Stabenow","F","Congress","Democrat","SenatorStabenow","senatorstabenow","sen"
"sentedcruz","1074480192","SenTedCruz","Senator Ted Cruz","Representing the State of Texas in the United States Senate.",1101004,8355,7239,"Wed Jan 09 18:11:37 +0000 2013","Houston, Texas","C001098","02175","Ted Cruz","M","Congress","Republican","SenatorTedCruz","sentedcruz","sen"
"senthomtillis","2964174789","SenThomTillis","Senator Thom Tillis","Official Twitter account of North Carolina U.S. Senator Thom Tillis.",56108,3499,4656,"Tue Jan 06 14:22:18 +0000 2015","Washington, D.C.","T000476","02291","Thom Tillis","M","Congress","Republican","SenatorThomTillis",NA,"sen"
"sentinasmith","941000686275387392","SenTinaSmith","Senator Tina Smith","Official account of U.S. Senator Tina Smith of Minnesota. More here: https://t.co/9tIuJLpMr0 https://t.co/ijpKqkvEVA",28237,1494,373,"Wed Dec 13 17:43:41 +0000 2017","","S001203",NA,"Tina Smith","F","Congress","Democrat",NA,NA,"sen"
"sentoddyoung","234128524","SenToddYoung","Senator Todd Young","I proudly serve Hoosier families in the U.S. Senate. Contact my office at (202) 224-5623 for assistance. You can also visit our website for additional info.",36622,4062,508,"Tue Jan 04 22:35:16 +0000 2011","Indiana","Y000064","02019","Todd Young","M","Congress","Republican","SenatorToddYoung","RepToddYoung","sen"
"sentomcotton","968650362","SenTomCotton","Tom Cotton","U.S. Senator proudly serving the state of Arkansas.",125980,7822,369,"Sat Nov 24 19:33:10 +0000 2012","","C001095","02098","Tom Cotton","M","Congress","Republican","SenatorTomCotton","RepTomCotton","sen"
"sentoomey","221162525","SenToomey","Senator Pat Toomey","Official Twitter account for Pat Toomey. Husband. Father. U.S. Senator for Pennsylvania.",118223,4448,1077,"Mon Nov 29 22:32:09 +0000 2010","","T000461","02085","Patrick J. Toomey","M","Congress","Republican","senatortoomey","sentoomey","sen"
"senwarren","970207298","SenWarren","Elizabeth Warren","Official twitter account of Senator Elizabeth Warren of Massachusetts.",4528944,3293,258,"Sun Nov 25 15:14:27 +0000 2012","","W000817","02182","Elizabeth Warren","F","Other Politicians","Democrat","senatorelizabethwarren","senelizabethwarren","sen"
"senwhitehouse","242555999","SenWhitehouse","Sheldon Whitehouse","U.S. Senator from Rhode Island, the Ocean State.",250843,9066,1725,"Tue Jan 25 01:52:03 +0000 2011","Rhode Island","W000802","01823","Sheldon Whitehouse","M","Congress","Democrat","SenatorWhitehouse","SenatorWhitehouse","sen"
"slate","15164565","Slate","Slate","",1768353,343862,631,"Thu Jun 19 01:08:29 +0000 2008","",NA,NA,NA,NA,"Media Outlets",NA,NA,NA,NA
"speakerryan","18916432","SpeakerRyan","Paul Ryan","Office of the 54th Speaker of the House, Paul Ryan.",3624369,14581,266,"Mon Jan 12 21:31:25 +0000 2009","Janesville, WI","R000570","01560","Paul D. Ryan","M","Congress","Republican","speakerryan","reppaulryan","rep"
"staceyplaskett","2724095695","StaceyPlaskett","Rep. Stacey Plaskett","Proudly representing the Virgin Islands of the United States",5438,923,417,"Mon Aug 11 14:40:01 +0000 2014","U.S. Virgin Is. | Wash., DC","P000610","02274","Stacey E. Plaskett","F","Congress","Democrat","repstaceyplaskett",NA,"rep"
"stephenathome","16303106","StephenAtHome","Stephen Colbert","the guy on CBS",18158475,5775,26,"Mon Sep 15 22:31:44 +0000 2008","",NA,NA,NA,NA,"Media Outlets",NA,NA,NA,NA
"stevedaines","11651202","SteveDaines","Steve Daines","Married 31 years to Cindy. Parents of four. Three dogs. Serving the people of Montana in the U.S. Senate. 🇺🇸",37239,5221,659,"Sun Dec 30 05:52:03 +0000 2007","Bozeman, MT","D000618","02138","Steve Daines","M","Congress","Republican","SteveDainesMT","SteveDainesMT","sen"
"stevekingia","48117116","SteveKingIA","Steve King","U.S. Congress, 4th Congressional District of Iowa #IA04",92952,2349,169,"Wed Jun 17 21:09:41 +0000 2009","Washington, DC","K000362","01724","Steve King","M","Congress","Republican","stevekingia","stevekingia","rep"
"steveknight25","2974648323","SteveKnight25","Rep. Steve Knight","Proudly representing California's 25th Congressional District.",5684,1034,35,"Mon Jan 12 13:24:19 +0000 2015","","K000387","02228","Stephen Knight","M","Congress","Republican","RepresentativeSteveKnight",NA,"rep"
"stevescalise","1209417007","SteveScalise","Rep. Steve Scalise","Serving as House Majority Whip and representing LA-01. Follow me on Facebook: http://t.co/mIQZ2Jh9Gt and Instagram: http://t.co/5wuWc45xvq",271082,8317,1722,"Fri Feb 22 18:10:47 +0000 2013","Jefferson, LA","S001176","01892","Steve Scalise","M","Congress","Republican","RepSteveScalise","RepSteveScalise","rep"
"susanwbrooks","1074101017","SusanWBrooks","Susan W. Brooks","Serving the good people of Indiana’s 5th District in Congress. Facebook: https://t.co/GSC0yQ0KXW Instagram & Snapchat: @susanwbrooks",18196,5510,1122,"Wed Jan 09 15:30:38 +0000 2013","","B001284","02129","Susan W. Brooks","F","Congress","Republican","congresswomansusanwbrooks","SusanWBrooks","rep"
"teammoulton","3091316093","teammoulton","TeamMoulton","The Office of Congressman Seth Moulton (D-MA)",7455,3934,3132,"Fri Mar 13 14:26:54 +0000 2015","Salem, MA ","M001196","02246","Seth Moulton","M","Congress","Democrat","CongressmanSethMoulton",NA,"rep"
"tedcruz","23022687","tedcruz","Ted Cruz","Father of two, @heidiscruz's husband, fighter for liberty. Representing the great state of Texas in the U.S. Senate.",3194159,21518,6528,"Fri Mar 06 03:20:20 +0000 2009","Houston, Texas",NA,NA,NA,NA,"Primary Candidate","Republican",NA,NA,NA
"tgowdysc","237348797","TGowdySC","Trey Gowdy","Husband, father, former prosecutor, South Carolinian for life.",874310,1887,405,"Wed Jan 12 16:57:04 +0000 2011","Spartanburg, SC","G000566","02058","Trey Gowdy","M","Congress","Republican","RepTreyGowdy","TGowdySC","rep"
"theblaze","10774652","theblaze","TheBlaze","Authentic. Unfiltered. Fearless.",668589,88177,383,"Sat Dec 01 22:23:57 +0000 2007","Dallas, TX",NA,NA,NA,NA,"Media Outlets",NA,NA,NA,NA
"thedailyshow","158414847","TheDailyShow","The Daily Show","Trevor Noah & The World’s Fakest News Team. Weeknights 11/10c @ComedyCentral. Tickets: https://t.co/otjFIiMtNU",7577324,15452,463,"Tue Jun 22 16:41:05 +0000 2010","",NA,NA,NA,NA,"Media Outlets",NA,NA,NA,NA
"thedemocrats","14377605","TheDemocrats","The Democrats","This is the official Twitter account of the Democratic Party. Follow us to get the latest info on Democratic news and issues.",1450627,23865,1197,"Sun Apr 13 20:23:13 +0000 2008","Washington, D.C.",NA,NA,NA,NA,"Other Politicians",NA,NA,NA,NA
"thinkprogress","55355654","thinkprogress","ThinkProgress","Moving news forward since 2005.",844474,127849,880,"Thu Jul 09 20:42:08 +0000 2009","Washington, D.C.",NA,NA,NA,NA,"Media Outlets",NA,NA,NA,NA
"toddrokita","17544524","ToddRokita","Rep. Todd Rokita","Todd Rokita, U.S. Representative of the 4th District of Indiana. Chairman of Subcommittee on Early Childhood, Elementary, and Secondary Education.",22429,6068,3401,"Fri Nov 21 20:10:51 +0000 2008","Indiana","R000592","02017","Todd Rokita","M","Congress","Republican","RepToddRokita","reptoddrokita","rep"
"tomcoleok04","23124635","TomColeOK04","Rep. Tom Cole","Proud to represent the Fourth District of Oklahoma in the U.S. House of Representatives. Staff moderated unless signed by me. -TC",19400,1250,286,"Fri Mar 06 21:54:25 +0000 2009","Oklahoma","C001053","01742","Tom Cole","M","Congress","Republican","TomColeOK04","reptomcole","rep"
"tomrooney","23970171","TomRooney","Tom Rooney","Proudly represent Florida's 17th District in the U.S. House of Representatives. Husband & father of 3 sons. RT ≠ endorsement.",22235,2964,3848,"Thu Mar 12 15:44:41 +0000 2009","Florida","R000583","01916","Thomas J. Rooney","M","Congress","Republican","reptomrooney","CongressmanRooney","rep"
"tuckercarlson","22703645","TuckerCarlson","Tucker Carlson","Host of ""Tucker Carlson Tonight"", weeknights at 8 PM ET @FoxNews. My new book #ShipOfFools is available for preorder below! Re-tweets are emphatic endorsements.",2060971,3915,100,"Wed Mar 04 00:03:12 +0000 2009","Washington, DC",NA,NA,NA,NA,"Journalists",NA,NA,NA,NA
"tulsipress","1064206014","TulsiPress","Rep. Tulsi Gabbard","Aloha - Official account of Rep Tulsi Gabbard (HI-02), managed by staff. (Use of TG's military rank, title, or photo do not imply Army or DoD endorsement.)",97415,3943,1143,"Sat Jan 05 22:57:50 +0000 2013","","G000571","02122","Tulsi Gabbard","F","Congress","Democrat","RepTulsiGabbard","tulsipress","rep"
"txrandy14","1058051748","TXRandy14","Randy Weber","Representative for the 14th Congressional District of Texas.  http://t.co/3YiUH4dPNE | Instagram: TXRandy14",13826,2418,455,"Thu Jan 03 15:30:06 +0000 2013","Friendswood, TX","W000814","02161","Randy K. Weber, Sr.","M","Congress","Republican","TXRandy14","TXRandy14","rep"
"usatoday","15754281","USATODAY","USA TODAY","The latest news and most interesting stories from USA TODAY. News that's meant to be shared.",3614465,257543,480,"Wed Aug 06 19:55:31 +0000 2008","USA TODAY HQ, McLean, Va.",NA,NA,NA,NA,"Media Outlets",NA,NA,NA,NA
"usrepgarypalmer","2861616083","USRepGaryPalmer","Gary Palmer","Proudly serving the people of Alabama's 6th Congressional District.",14213,1851,890,"Tue Nov 04 22:58:38 +0000 2014","","P000609","02221","Gary J. Palmer","M","Congress","Republican","CongressmanGaryPalmer",NA,"rep"
"usrepkcastor","1880674038","USRepKCastor","US Rep Kathy Castor","Tampa Bay's Congresswoman 🇺🇸",14075,4684,3497,"Wed Sep 18 20:03:57 +0000 2013","","C001066","01839","Kathy Castor","F","Congress","Democrat","USRepKathyCastor","RepKathyCastor","rep"
"usrepkeating","232992031","USRepKeating","Bill Keating","Welcome to the official Twitter page of Congressman Bill Keating!",13574,1302,605,"Sat Jan 01 23:58:47 +0000 2011","Bourne, Ma","K000375","02025","William R. Keating","M","Congress","Democrat","Congressman.Keating","RepBillKeating","rep"
"usreplong","1444015610","USRepLong","U.S. Rep. Billy Long","Representing Missouri’s 7th District in the United States Congress Member of the House Energy and Commerce Committee",15657,6354,4408,"Mon May 20 15:02:21 +0000 2013","","L000576","02033","Billy Long","M","Congress","Republican","Rep.Billy.Long","MOdistrict7","rep"
"usrepmikedoyle","39249305","USRepMikeDoyle","Mike Doyle","U.S. Member of Congress representing PA's 14th District",16887,1209,67,"Mon May 11 13:22:08 +0000 2009","Pittsburgh, PA","D000482","00316","Michael F. Doyle","M","Congress","Democrat","usrepmikedoyle","CongressmanDoyle","rep"
"usrepricknolan","1055685948","USRepRickNolan","US Rep. Rick Nolan","Official Twitter account for U.S Congressman Rick Nolan. Proudly serving the people of Minnesota's 8th Congressional District. Working to #RestoreDemocracy.",12319,2806,1117,"Wed Jan 02 17:51:28 +0000 2013","","N000127","00867","Richard M. Nolan","M","Congress","Democrat","UsRepRickNolan","USRepRickNolan","rep"
"usreprodney","1382011333","USRepRodney","Rodney Frelinghuysen","Proudly serving the 11th Congressional District of New Jersey in the U.S. House of Representatives and Chairman of @HouseAppropsGOP",13911,1138,102,"Fri Apr 26 14:05:13 +0000 2013","","F000372","00414","Rodney P. Frelinghuysen","M","Congress","Republican","rfrelinghuysen","RepFrelinghuysen","rep"
"vernbuchanan","20467163","VernBuchanan","Rep. Vern Buchanan","U.S. Congressman",26604,2431,10677,"Mon Feb 09 21:05:19 +0000 2009","Florida's 16th District","B001260","01840","Vern Buchanan","M","Congress","Republican","CongressmanBuchanan","vernbuchanan","rep"
"virginiafoxx","16256269","virginiafoxx","Virginia Foxx","Congresswoman Virginia Foxx. Conservative representing North Carolina's Fifth District.",21663,3691,1382,"Fri Sep 12 13:30:07 +0000 2008","Banner Elk, NC","F000450","01791","Virginia Foxx","F","Congress","Republican","RepVirginiaFoxx","repvirginiafoxx","rep"
"vp","818910970567344128","VP","Vice President Mike Pence","Vice President Mike Pence. Husband, father, & honored to serve as the 48th Vice President of the United States. Tweets may be archived: https://t.co/eVVzoBb3Zr",6389661,4480,11,"Tue Jan 10 20:02:44 +0000 2017","Washington, D.C.",NA,NA,NA,NA,"Other Politicians",NA,NA,NA,NA
"warrendavidson","742735530287304704","WarrenDavidson","Warren Davidson","U.S. Congressman serving Ohio's 8th District. Constitutionalist and former Army Ranger. It's not compassionate to bankrupt America!",8002,1807,4235,"Tue Jun 14 15:08:44 +0000 2016","Washington, DC","D000626","02296","Warren Davidson","M","Congress","Republican","CongressmanWarrenDavidson",NA,"rep"
"washingtonpost","2467791","washingtonpost","Washington Post","Tweet-length breaking news, analysis from around the world. Founded in 1877. Follow our journalists on Twitter: https://t.co/VV0UBAMHg8",12586151,277398,1487,"Tue Mar 27 11:19:39 +0000 2007","Washington, DC",NA,NA,NA,NA,"Media Outlets",NA,NA,NA,NA
"whiphoyer","22012091","WhipHoyer","Steny Hoyer","The Democratic Whip of the U.S. House of Representatives, representing Maryland's 5th Congressional District.",103665,15827,4038,"Thu Feb 26 14:13:01 +0000 2009","Washington, DC","H000874","00566","Steny H. Hoyer","M","Congress","Democrat","WhipHoyer","LeaderHoyer","rep"
"wsj","3108351","WSJ","The Wall Street Journal","Breaking news and features from the WSJ.",15761265,248518,1115,"Sun Apr 01 06:22:13 +0000 2007","New York, NY",NA,NA,NA,NA,"Media Outlets",NA,NA,NA,NA
"yahoonews","7309052","YahooNews","Yahoo News","The official Twitter account for Yahoo News – breaking news and popular stories.",1105181,179581,2371,"Sat Jul 07 06:52:31 +0000 2007","New York City",NA,NA,NA,NA,"Media Outlets",NA,NA,NA,NA
